contrast_threshold,octave_layers,ransac_threshold,lowe_ratio,edge_threshold,gaussian_blur,accuracy,true_positive_rate,false_positive_rate,false_negative_rate
0.02,4,3.0,0.7,15,1.0,0.32967032604757884,0.34883720524607903,0.14285713877551032,0.6511627831260142
0.02,4,3.0,0.7,15,1.3,0.4175824129935999,0.44186045997836676,0.11627906706327752,0.5581395283937264
0.02,4,3.0,0.7,15,1.6,0.3913043435727789,0.4186046462952948,0.1428571394557824,0.5813953420767983
0.02,4,3.0,0.7,20,1.0,0.34065933691583145,0.360465112087615,0.1388888850308643,0.6395348762844782
0.02,4,3.0,0.7,20,1.3,0.3913043435727789,0.4186046462952948,0.1428571394557824,0.5813953420767983
0.02,4,3.0,0.7,20,1.6,0.4065934021253472,0.4302325531368308,0.119047616213152,0.5697674352352624
0.02,4,3.0,0.75,10,1.0,0.38709677003121756,0.4186046462952948,0.16279069388858852,0.5813953420767983
0.02,4,3.0,0.75,10,1.3,0.36170212381167954,0.39534883261222287,0.1904761859410432,0.6046511557598703
0.02,4,3.0,0.75,10,1.6,0.38709677003121756,0.4186046462952948,0.16279069388858852,0.5813953420767983
0.02,4,3.0,0.75,15,1.0,0.38709677003121756,0.4186046462952948,0.16279069388858852,0.5813953420767983
0.02,4,3.0,0.75,15,1.3,0.39999999578947376,0.44186045997836676,0.19148935762788602,0.5581395283937264
0.02,4,3.0,0.75,15,1.6,0.41935483420048564,0.45348836681990273,0.1521739097353498,0.5465116215521905
0.02,4,3.0,0.75,20,1.0,0.4065934021253472,0.4302325531368308,0.119047616213152,0.5697674352352624
0.02,4,3.0,0.75,20,1.3,0.38947368011080336,0.4302325531368308,0.19565216965973545,0.5697674352352624
0.02,4,3.0,0.75,20,1.6,0.40217390867202274,0.4302325531368308,0.13953488047593302,0.5697674352352624
0.02,4,3.0,0.8,10,1.0,0.41935483420048564,0.45348836681990273,0.1521739097353498,0.5465116215521905
0.02,4,3.0,0.8,10,1.3,0.4148936126075148,0.45348836681990273,0.1702127623358987,0.5465116215521905
0.02,4,3.0,0.8,10,1.6,0.3958333292100695,0.44186045997836676,0.20833332899305565,0.5581395283937264
0.02,4,3.0,0.8,15,1.0,0.41935483420048564,0.45348836681990273,0.1521739097353498,0.5465116215521905
0.02,4,3.0,0.8,15,1.3,0.4315789428254848,0.4767441805029747,0.17999999640000008,0.5232558078691185
0.02,4,3.0,0.8,15,1.6,0.44210525850415516,0.48837208734451065,0.1764705847750866,0.5116279010275826
0.02,4,3.0,0.8,20,1.0,0.408602146144063,0.44186045997836676,0.1555555520987655,0.5581395283937264
0.02,4,3.0,0.8,20,1.3,0.41666666232638894,0.4651162736614387,0.1999999960000001,0.5348837147106545
0.02,4,3.0,0.8,20,1.6,0.45161289836975377,0.48837208734451065,0.14285713994169102,0.5116279010275826
0.02,6,1.0,0.7,10,1.0,0.34065933691583145,0.360465112087615,0.1388888850308643,0.6395348762844782
0.02,6,1.0,0.7,10,1.3,0.37777777358024694,0.39534883261222287,0.10526315512465383,0.6046511557598703
0.02,6,1.0,0.7,10,1.6,0.4130434737712666,0.44186045997836676,0.13636363326446288,0.5581395283937264
0.02,6,1.0,0.7,15,1.0,0.3586956482750473,0.3837209257706869,0.1538461499013808,0.6162790626014063
0.02,6,1.0,0.7,15,1.3,0.38202246761772507,0.39534883261222287,0.08108107888970058,0.6046511557598703
